Ingredient;Additional Unit;Conversion Factor;Priority
Joghurt;Becher;400;1
Joghurt;EL;24;2
Joghurt;TL;7.5;3
Zucker;EL;12;1
Zucker;TL;4;2
Mehl;Becher;150;1
Mehl;EL;10;2
Butter;EL;10;1
Milch;Becher;250;1
Milch;EL;15;2
Sahne;Becher;200;1
Olivenöl;EL;10;1
Olivenöl;TL;3;2
Zitronensaft;EL;15;1
Honig;EL;21;1
Haferflocken;Becher;100;1
Haferflocken;EL;10;2
